gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
SLC35C1,5.454902,0.065386,1.944483,3.463394,2.734361,0.131259,NHP highest
CBX5,5.454902,0.065386,5.251178,7.732021,6.832151,0.131259,NHP highest
KLHL25,5.454902,0.065386,4.884896,1.899073,3.01471,0.131259,Human highest
LAMP5,5.454902,0.065386,5.425495,7.885464,6.352186,0.131259,NHP highest
UTRN,5.454902,0.065386,6.141828,4.841261,5.559162,0.131259,Human highest
LAMA5,5.454902,0.065386,3.459024,0.289891,1.514887,0.131259,Human highest
RAB23,5.454902,0.065386,4.555928,5.080453,4.947964,0.131259,NHP highest
DHRS1,5.454902,0.065386,3.506328,4.418185,4.178417,0.131259,NHP highest
UBE2V2,5.454902,0.065386,6.038615,7.142052,6.582139,0.131259,NHP highest
GP9,5.459004,0.065252,0.040585,0.036608,0.006341,0.131259,Human highest
CALHM2,5.454902,0.065386,2.613331,3.772359,3.428178,0.131259,NHP highest
SETD1B,5.454902,0.065386,4.012614,5.844077,5.308565,0.131259,NHP highest
STXBP4,5.454902,0.065386,5.296319,5.607495,5.569264,0.131259,NHP highest
UIMC1,5.454902,0.065386,6.617911,4.970871,5.571671,0.131259,Human highest
TMEM14C,5.454902,0.065386,3.63049,4.935964,4.629211,0.131259,NHP highest
SPRTN,5.454902,0.065386,4.540085,3.813319,3.911759,0.131259,Human highest
ZIC5,5.453009,0.065448,0.009177,0.119324,0.02441,0.131365,NHP highest
MYL3,5.445399,0.065697,0.010048,0.104812,0.150037,0.131848,Mouse highest
FABP4,5.443728,0.065752,0.016779,0.08796,0.002469,0.13194,NHP highest
PROCR,5.437382,0.065961,3.148561,0.052565,1.242846,0.132341,Human highest
PPOX,5.434641,0.066052,3.454718,2.744693,3.673785,0.132431,Mouse highest
WDR48,5.434641,0.066052,5.704822,5.860104,5.614129,0.132431,NHP highest
RGL1,5.434641,0.066052,8.241189,8.487161,8.053045,0.132431,NHP highest
BLVRA,5.434641,0.066052,3.832892,3.44381,4.398683,0.132431,Mouse highest
RENBP,5.434641,0.066052,0.329882,0.149454,0.961428,0.132431,Mouse highest
KCNF1,5.430719,0.066181,3.665239,6.863096,5.558185,0.132435,NHP highest
KCNAB1,5.430719,0.066181,6.777399,5.384567,5.977001,0.132435,Human highest
DAO,5.430719,0.066181,1.459184,0.31223,0.87381,0.132435,Human highest
SALL2,5.430719,0.066181,1.570624,5.440603,4.052817,0.132435,NHP highest
ACTRT3,5.430719,0.066181,0.547429,0.489633,0.798313,0.132435,Mouse highest
SLC16A13,5.430719,0.066181,2.666462,1.522755,2.022092,0.132435,Human highest
PCCB,5.430719,0.066181,5.009247,4.383534,4.719139,0.132435,Human highest
ZC3H15,5.430719,0.066181,5.583306,8.008094,7.147384,0.132435,NHP highest
SNX17,5.430719,0.066181,3.543879,5.107774,4.358613,0.132435,NHP highest
