gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
GLCCI1,10.976471,0.004135,7.54915,7.286576,6.808765,0.051816,Human highest
GOSR1,8.734641,0.012685,6.188662,4.982666,5.095567,0.051816,Human highest
GOLIM4,11.538562,0.003122,4.647655,3.591195,3.133913,0.051816,Human highest
GOLGA4,9.278431,0.009665,7.873177,6.648829,6.671566,0.051816,Human highest
GOLGA3,8.819608,0.012158,6.101204,5.311752,5.320823,0.051816,Human highest
GNRHR,9.049462,0.010838,1.691969,0.164899,0.10455,0.051816,Human highest
GNRH1,9.499346,0.008655,1.582848,0.69988,0.54726,0.051816,Human highest
GNPTAB,9.278431,0.009665,7.120484,5.960297,5.967383,0.051816,Human highest
GNPAT,8.901307,0.011671,4.796503,5.481037,5.325119,0.051816,NHP highest
GNMT,8.68366,0.013013,5.182792,1.194612,1.517025,0.051816,Human highest
GNL3L,11.538562,0.003122,4.543975,7.600949,6.668736,0.051816,NHP highest
GOLT1B,9.278431,0.009665,6.850093,5.22757,5.382001,0.051816,Human highest
DBNL,8.938562,0.011456,3.946395,5.3447,5.276622,0.051816,NHP highest
PCBP3,8.734641,0.012685,2.261562,6.01954,5.784452,0.051816,NHP highest
PCDHA5,10.404211,0.005505,0.0,1.567048,0.577584,0.051816,NHP highest
TM7SF2,12.490196,0.00194,4.674452,2.479745,3.012582,0.051816,Human highest
TM4SF1,8.68366,0.013013,0.031648,0.648809,0.655861,0.051816,Mouse highest
TM2D3,10.464052,0.005343,5.763557,4.129443,4.808918,0.051816,Human highest
TLX2,9.075269,0.010699,0.480038,0.0,0.051271,0.051816,Human highest
TLR8,11.019391,0.004047,0.035974,0.0,0.0,0.051816,Human highest
TLR6,8.843678,0.012012,0.325096,0.0,0.074049,0.051816,Human highest
TLR1,9.378246,0.009195,0.190213,0.031402,0.041354,0.051816,Human highest
TLN1,9.278431,0.009665,3.984855,6.105886,5.80725,0.051816,NHP highest
TLE6,11.75817,0.002797,1.010811,1.126158,2.129173,0.051816,Mouse highest
TLE3,11.538562,0.003122,3.416226,5.800171,5.086128,0.051816,NHP highest
TLE1,9.754248,0.007619,6.910783,6.389559,5.994882,0.051816,Human highest
TIMP4,8.68366,0.013013,0.300468,4.919933,3.981122,0.051816,NHP highest
TIMMDC1,8.734641,0.012685,4.714611,5.219399,5.334184,0.051816,Mouse highest
TIMM9,8.819608,0.012158,4.655006,6.497164,6.363923,0.051816,NHP highest
TIMM22,9.278431,0.009665,3.498851,4.97567,5.32335,0.051816,Mouse highest
TIMM10,8.819608,0.012158,2.483376,5.353445,5.145652,0.051816,NHP highest
TIGD4,8.884422,0.01177,3.673297,0.087753,0.716648,0.051816,Human highest
TIFAB,8.975228,0.011247,0.087815,0.073448,0.007566,0.051816,Human highest
THUMPD3,11.538562,0.003122,3.784334,4.285913,4.58657,0.051816,Mouse highest
TM7SF3,9.091503,0.010612,7.103577,4.61525,5.013061,0.051816,Human highest
THUMPD2,9.091503,0.010612,5.486038,2.964339,3.6323,0.051816,Human highest
TM9SF2,10.366013,0.005611,5.713607,7.074565,6.617251,0.051816,NHP highest
TM9SF4,12.490196,0.00194,5.761062,6.794449,6.340125,0.051816,NHP highest
TMEM165,8.68366,0.013013,6.346574,5.160603,5.216039,0.051816,Human highest
TMEM163,11.538562,0.003122,6.733734,3.151362,4.760422,0.051816,Human highest
TMEM161A,8.905882,0.011644,4.692649,3.882618,4.04841,0.051816,Human highest
TMEM150C,8.938562,0.011456,6.3133,5.414733,5.587902,0.051816,Human highest
TMEM147,8.938562,0.011456,3.080819,5.496575,5.613611,0.051816,Mouse highest
TMEM117,8.68366,0.013013,8.12918,5.849514,6.209646,0.051816,Human highest
TMEM108,9.754248,0.007619,9.85133,8.108636,8.457413,0.051816,Human highest
TMEM102,12.238031,0.002201,0.227566,0.013732,0.002461,0.051816,Human highest
TMEM101,9.204301,0.01003,0.0,3.867185,3.925966,0.051816,Mouse highest
TMEFF1,8.843011,0.012016,0.0,6.624002,6.55179,0.051816,NHP highest
TMED7,9.875269,0.007172,0.0,6.460787,5.491268,0.051816,NHP highest
TMED6,8.863054,0.011896,2.018967,0.543607,0.577528,0.051816,Human highest
TMCO1,11.872549,0.002642,4.859328,5.114138,5.779173,0.051816,Mouse highest
TMCC3,8.938562,0.011456,1.339681,4.918239,5.080284,0.051816,Mouse highest
TMC7,8.70936,0.012847,4.077144,3.049109,2.279014,0.051816,Human highest
TMC6,9.091503,0.010612,0.453646,1.426676,1.267646,0.051816,NHP highest
TMC5,8.954104,0.011367,2.406024,0.097486,0.10812,0.051816,Human highest
TMC4,10.043137,0.006594,1.620451,3.080739,3.420028,0.051816,Mouse highest
TMBIM4,8.964052,0.01131,4.5792,4.465215,4.876024,0.051816,Mouse highest
TM9SF3,11.997386,0.002482,6.303182,7.65992,6.893284,0.051816,NHP highest
TMEM17,11.016993,0.004052,2.770844,3.011746,3.735075,0.051816,Mouse highest
THSD4,8.819608,0.012158,5.350796,4.067933,4.219704,0.051816,Human highest
THBS4,10.722876,0.004694,3.79104,0.862137,1.471464,0.051816,Human highest
TEAD1,9.499346,0.008655,7.270237,4.680529,5.145117,0.051816,Human highest
TDRP,8.666667,0.013124,5.730415,4.660042,4.586529,0.051816,Human highest
TDRKH,9.091503,0.010612,3.722023,4.288216,4.426956,0.051816,Mouse highest
TDRD6,9.546141,0.008454,3.933822,0.384915,0.192547,0.051816,Human highest
TCP11,10.764052,0.004598,0.689159,1.098082,2.216412,0.051816,Mouse highest
TCIRG1,9.091503,0.010612,0.502641,1.620631,1.855033,0.051816,Mouse highest
TCF4,10.023529,0.006659,9.249906,10.024883,9.74955,0.051816,NHP highest
TCF3,8.930719,0.011501,3.489408,3.876967,4.217259,0.051816,Mouse highest
TCEANC2,8.68366,0.013013,3.560382,4.45114,4.449105,0.051816,NHP highest
TCEAL7,9.043137,0.010872,4.579953,2.501606,3.062219,0.051816,Human highest
TCEA2,8.771895,0.012451,5.223179,3.82187,4.531146,0.051816,Human highest
TCEA1,8.734641,0.012685,4.86773,6.67573,6.49846,0.051816,NHP highest
TCAP,9.754248,0.007619,2.276412,3.495641,3.221634,0.051816,NHP highest
TCAF1,10.987582,0.004112,6.527163,8.633549,7.845075,0.051816,NHP highest
TC2N,12.490196,0.00194,3.199404,0.123826,1.056748,0.051816,Human highest
TBX21,9.278431,0.009665,0.176344,0.506151,0.778576,0.051816,Mouse highest
TBX1,8.933333,0.011486,0.637138,0.027082,0.03514,0.051816,Human highest
TBRG1,9.754248,0.007619,7.237821,4.594048,5.007298,0.051816,Human highest
TBR1,10.722876,0.004694,4.00648,6.260987,5.880627,0.051816,NHP highest
TEFM,9.091503,0.010612,5.426859,2.459811,2.66987,0.051816,Human highest
THEMIS,11.997386,0.002482,3.159151,0.69789,1.555655,0.051816,Human highest
TEKT5,8.982594,0.011206,3.182966,0.410708,0.633833,0.051816,Human highest
TEX101,11.294624,0.003527,1.202518,0.0,0.094493,0.051816,Human highest
THAP3,8.938562,0.011456,2.983032,4.538145,5.315387,0.051816,Mouse highest
TH,12.389071,0.002041,0.374988,0.06801,0.013401,0.051816,Human highest
TGM3,9.091503,0.010612,0.996142,2.491739,3.05278,0.051816,Mouse highest
TGM1,9.049462,0.010838,1.30049,0.177012,0.173334,0.051816,Human highest
TGIF2,10.494624,0.005262,0.0,1.024757,1.842433,0.051816,Mouse highest
TGFBR3L,8.901307,0.011671,4.177804,1.405258,2.108873,0.051816,Human highest
TFPI,8.666667,0.013124,1.596168,2.243081,2.26589,0.051816,Mouse highest
TFG,8.938562,0.011456,6.023646,5.143889,5.025306,0.051816,Human highest
TFEB,9.164052,0.010234,3.233896,0.387025,1.022114,0.051816,Human highest
TFE3,9.499346,0.008655,3.667593,4.307594,4.464738,0.051816,Mouse highest
TFB2M,11.538562,0.003122,3.907805,4.762389,5.053209,0.051816,Mouse highest
TFAP4,8.70936,0.012847,2.887663,1.462585,1.155408,0.051816,Human highest
TFAP2E,8.666667,0.013124,4.338123,0.379155,1.001319,0.051816,Human highest
TFAM,11.113725,0.003861,3.636742,5.037273,4.849637,0.051816,NHP highest
TEX36,9.102456,0.010554,1.270728,0.022876,0.208318,0.051816,Human highest
TEX29,8.938562,0.011456,4.010042,1.102296,1.713172,0.051816,Human highest
TEX264,9.278431,0.009665,3.700412,5.241865,5.284826,0.051816,Mouse highest
TEX14,10.476471,0.00531,2.765582,2.943747,4.412066,0.051816,Mouse highest
TEX12,10.212843,0.006058,1.517681,0.118322,0.389912,0.051816,Human highest
TESPA1,8.734641,0.012685,8.142914,1.83516,3.026124,0.051816,Human highest
TMEM170A,8.726437,0.012737,4.818364,2.481746,1.845326,0.051816,Human highest
TMEM170B,9.920915,0.00701,6.291401,6.19732,5.670934,0.051816,Human highest
TMEM171,10.067974,0.006513,0.416018,0.501437,1.11808,0.051816,Mouse highest
TOX,9.091503,0.010612,6.676915,3.481742,4.080886,0.051816,Human highest
TOR1AIP1,11.113725,0.003861,4.076399,4.793815,5.05586,0.051816,Mouse highest
TOP3B,11.113725,0.003861,4.044758,4.55974,4.836786,0.051816,Mouse highest
TOP1MT,10.722876,0.004694,2.668804,3.316428,4.279319,0.051816,Mouse highest
TOLLIP,8.997386,0.011124,5.816008,6.012039,5.385131,0.051816,NHP highest
TNXB,9.091503,0.010612,3.864036,1.228757,1.815737,0.051816,Human highest
TNRC6A,8.863054,0.011896,8.553542,6.614862,4.81452,0.051816,Human highest
TNPO3,8.68366,0.013013,6.315752,6.828611,6.853296,0.051816,Mouse highest
TNNI3K,9.617204,0.008159,0.0,2.636704,4.175195,0.051816,Mouse highest
TNNI1,11.113725,0.003861,0.05193,0.549512,0.928636,0.051816,Mouse highest
TNNC1,9.091503,0.010612,0.132641,2.953735,2.678537,0.051816,NHP highest
TNKS1BP1,9.043137,0.010872,4.164698,5.508969,4.747623,0.051816,NHP highest
TNIP2,9.091503,0.010612,1.635987,4.190812,4.245677,0.051816,Mouse highest
TNIK,12.490196,0.00194,7.914785,8.972503,8.63616,0.051816,NHP highest
TNFSF9,9.278431,0.009665,1.658762,0.179201,0.143782,0.051816,Human highest
TNFSF18,10.878161,0.004343,0.718136,0.0,0.047798,0.051816,Human highest
TNFSF13B,8.68366,0.013013,4.991211,1.043877,1.426248,0.051816,Human highest
TNFSF12,11.251613,0.003604,0.0,1.031358,1.887636,0.051816,Mouse highest
TNFSF11,9.98184,0.006799,0.69257,0.060671,0.219511,0.051816,Human highest
TOX2,10.938562,0.004214,4.684025,2.918484,3.719856,0.051816,Human highest
TNFRSF9,9.091503,0.010612,0.546084,2.292417,2.548572,0.051816,Mouse highest
TOX4,9.617204,0.008159,0.0,6.168515,6.064668,0.051816,NHP highest
TP53BP2,8.938562,0.011456,2.029646,3.462503,3.363906,0.051816,NHP highest
TRAF5,9.278431,0.009665,5.133987,2.186656,2.066944,0.051816,Human highest
TRABD2B,11.113725,0.003861,0.683885,4.316288,3.351899,0.051816,NHP highest
TPRN,8.734641,0.012685,2.764704,1.700258,1.633038,0.051816,Human highest
TPRA1,11.954902,0.002535,4.160331,3.166641,3.726165,0.051816,Human highest
TPR,12.490196,0.00194,5.673582,7.261964,6.703304,0.051816,NHP highest
TPPP,10.450327,0.005379,5.947904,7.931047,7.305019,0.051816,NHP highest
TPMT,10.043137,0.006594,4.846719,2.037524,2.75997,0.051816,Human highest
TPM4,10.043137,0.006594,5.5068,3.348934,3.957151,0.051816,Human highest
TPH2,10.043137,0.006594,2.033917,0.337882,0.792316,0.051816,Human highest
TPGS2,8.734641,0.012685,6.3109,5.719539,5.743235,0.051816,Human highest
TPD52L2,9.920915,0.00701,5.608543,5.482105,5.077451,0.051816,Human highest
TPD52L1,10.722876,0.004694,4.392595,5.42406,5.924854,0.051816,Mouse highest
TPCN2,8.734641,0.012685,5.887061,1.362986,1.631376,0.051816,Human highest
TPCN1,8.819608,0.012158,5.578423,4.770066,4.786715,0.051816,Human highest
TPBG,9.278431,0.009665,4.28658,2.255899,1.788161,0.051816,Human highest
TP73,10.722876,0.004694,0.339997,0.854674,1.832246,0.051816,Mouse highest
TP53TG5,10.783158,0.004555,4.11101,0.0,0.582727,0.051816,Human highest
TP53INP1,8.68366,0.013013,1.194572,2.844928,2.982267,0.051816,Mouse highest
TP53I13,9.754248,0.007619,4.20405,0.795042,1.218513,0.051816,Human highest
TP53,9.091503,0.010612,2.35125,3.555816,3.672387,0.051816,Mouse highest
TNFRSF8,8.734641,0.012685,1.193793,2.358406,2.382318,0.051816,Mouse highest
TNFRSF19,9.278431,0.009665,2.773451,5.878236,5.343818,0.051816,NHP highest
TNFRSF18,8.982594,0.011206,1.945251,0.299327,0.23485,0.051816,Human highest
TMEM41B,9.499346,0.008655,6.254848,4.764786,4.943865,0.051816,Human highest
TMEM30A,11.997386,0.002482,4.408346,9.055446,7.649121,0.051816,NHP highest
TMEM256,9.204301,0.01003,0.0,7.076343,6.257782,0.051816,NHP highest
TMEM255A,8.819608,0.012158,0.526669,4.516176,4.075183,0.051816,NHP highest
TMEM249,9.592147,0.008262,1.742174,0.084786,0.066877,0.051816,Human highest
TMEM248,8.672549,0.013085,5.410985,5.045432,5.132746,0.051816,Human highest
TMEM245,11.113725,0.003861,6.907803,7.577497,7.380387,0.051816,NHP highest
TMEM242,10.371895,0.005595,5.181345,5.132545,6.502017,0.051816,Mouse highest
TMEM237,8.938562,0.011456,4.242503,5.523805,5.567761,0.051816,Mouse highest
TMEM232,8.666667,0.013124,8.49275,3.55016,4.135602,0.051816,Human highest
TMEM229A,11.454248,0.003256,1.292792,3.232476,2.544436,0.051816,NHP highest
TMEM214,8.68366,0.013013,2.979214,4.964607,4.726587,0.051816,NHP highest
TMEM209,8.938562,0.011456,3.950095,4.56511,4.461156,0.051816,NHP highest
TMEM205,10.938562,0.004214,5.816613,3.762093,4.692902,0.051816,Human highest
TMEM184C,8.819608,0.012158,3.867077,5.845695,5.528705,0.051816,NHP highest
TMEM179B,10.366013,0.005611,4.570499,2.526885,3.035152,0.051816,Human highest
TMEM178A,8.734641,0.012685,7.091533,6.727399,6.785794,0.051816,Human highest
TMEM177,10.722876,0.004694,3.467127,1.445238,1.812216,0.051816,Human highest
TMEM174,8.843011,0.012016,0.0,0.45363,0.457191,0.051816,Mouse highest
TMEM42,8.791398,0.01233,0.0,4.517315,4.271434,0.051816,NHP highest
TMEM43,8.819608,0.012158,5.087701,4.209366,4.233358,0.051816,Human highest
TMEM62,8.734641,0.012685,5.707477,4.365389,4.494073,0.051816,Human highest
TMEM64,11.997386,0.002482,3.852875,5.775745,5.278202,0.051816,NHP highest
TNFRSF11A,8.938562,0.011456,4.189754,3.560138,3.389445,0.051816,Human highest
TNFAIP6,9.754248,0.007619,1.08593,3.098601,2.486128,0.051816,NHP highest
TNFAIP3,9.244444,0.009831,0.108898,1.712707,1.091293,0.051816,NHP highest
TNFAIP2,8.767816,0.012477,2.427788,0.029689,0.83588,0.051816,Human highest
TMX2,10.167742,0.006196,0.0,6.511794,6.8194,0.051816,Mouse highest
TMX1,9.091503,0.010612,3.801328,5.037542,5.151727,0.051816,Mouse highest
TMTC3,10.043137,0.006594,6.027355,4.39793,4.912711,0.051816,Human highest
TMPRSS5,9.278431,0.009665,3.508736,2.50678,2.740959,0.051816,Human highest
TMPRSS11F,8.745358,0.012617,1.55625,0.196769,0.229378,0.051816,Human highest
TBK1,8.819608,0.012158,6.198081,5.580518,5.618355,0.051816,Human highest
TMPRSS11A,9.690196,0.007867,2.397778,0.258469,1.13984,0.051816,Human highest
TMOD2,9.319608,0.009468,7.63169,8.466087,8.062078,0.051816,NHP highest
TMEM8B,8.734641,0.012685,4.892665,5.512863,5.54098,0.051816,Mouse highest
TMEM86B,11.997386,0.002482,3.311322,2.699061,1.763875,0.051816,Human highest
TMEM86A,9.754248,0.007619,0.967058,2.845959,2.608212,0.051816,NHP highest
TMEM80,10.371895,0.005595,4.895243,5.089711,5.924397,0.051816,Mouse highest
TMEM74B,8.819608,0.012158,4.491239,3.12381,2.539413,0.051816,Human highest
TMEM69,11.538562,0.003122,3.781139,2.636337,3.131415,0.051816,Human highest
TMEM68,8.819608,0.012158,4.583903,5.152456,5.217021,0.051816,Mouse highest
TMEM65,11.487582,0.003203,6.869796,6.407701,5.992287,0.051816,Human highest
TMOD3,10.554902,0.005105,5.860447,5.112871,5.436574,0.051816,Human highest
TBCK,8.819608,0.012158,7.989662,6.536356,6.656009,0.051816,Human highest
TBCE,10.366013,0.005611,5.344983,6.085268,6.297873,0.051816,Mouse highest
TBC1D5,8.68366,0.013013,8.873621,6.932645,7.337639,0.051816,Human highest
SPSB4,11.954902,0.002535,2.099581,0.32286,0.873591,0.051816,Human highest
SPRY4,10.722876,0.004694,3.640449,1.901345,1.180926,0.051816,Human highest
SPPL2B,8.819608,0.012158,5.772972,4.338909,4.305652,0.051816,Human highest
SPON1,8.938562,0.011456,2.528387,6.184135,5.573194,0.051816,NHP highest
SPIRE2,8.777668,0.012415,5.425803,4.128461,3.021967,0.051816,Human highest
SPINT1,8.901307,0.011671,1.078745,0.224667,0.368735,0.051816,Human highest
SPINK6,9.378246,0.009195,0.361476,0.022876,0.033481,0.051816,Human highest
SPINK1,8.94953,0.011393,2.196916,0.082974,0.226334,0.051816,Human highest
SPIN4,9.754248,0.007619,2.067797,0.655327,0.454719,0.051816,Human highest
SPIDR,8.938562,0.011456,9.009648,3.063655,4.245985,0.051816,Human highest
SPHKAP,11.447059,0.003268,5.452124,8.64913,7.497338,0.051816,NHP highest
SPHK2,8.905882,0.011644,4.504976,3.676695,3.912748,0.051816,Human highest
SPG7,9.324138,0.009447,6.958576,4.846484,3.391625,0.051816,Human highest
SPESP1,9.875269,0.007172,0.0,0.26566,1.237198,0.051816,Mouse highest
SPEM1,8.815107,0.012185,0.005746,0.423889,0.174019,0.051816,NHP highest
SPEG,9.499346,0.008655,5.314116,6.391068,6.224762,0.051816,NHP highest
SPEF2,8.68366,0.013013,6.170769,1.996706,2.806563,0.051816,Human highest
SPEF1,8.666667,0.013124,5.04087,2.91075,2.28597,0.051816,Human highest
SPECC1L,8.791398,0.01233,0.0,5.971273,6.252492,0.051816,Mouse highest
SPTBN1,9.690196,0.007867,8.636235,9.48299,8.916843,0.051816,NHP highest
SPC24,9.499346,0.008655,1.01491,1.780004,2.357259,0.051816,Mouse highest
SPTBN2,11.113725,0.003861,6.007494,7.699213,7.212741,0.051816,NHP highest
SPTSSB,8.938562,0.011456,5.011971,0.578244,1.407176,0.051816,Human highest
SSUH2,9.122581,0.010449,3.077327,0.068677,0.127555,0.051816,Human highest
SSTR4,9.129648,0.010412,0.0,0.49673,0.281688,0.051816,NHP highest
SSTR2,10.722876,0.004694,4.386623,2.277652,2.97467,0.051816,Human highest
SSH3,12.238562,0.0022,2.73406,3.309541,4.053174,0.051816,Mouse highest
SSC4D,11.447059,0.003268,2.216145,0.629495,1.370792,0.051816,Human highest
SSBP2,8.68366,0.013013,8.148105,8.683941,8.715953,0.051816,Mouse highest
SS18,8.938562,0.011456,6.384902,4.274353,4.463151,0.051816,Human highest
SRSF4,9.278431,0.009665,4.906944,5.822097,6.045455,0.051816,Mouse highest
SRSF1,8.938562,0.011456,5.042224,6.827473,6.647991,0.051816,NHP highest
SRRM5,8.666667,0.013124,0.238604,0.960952,0.941884,0.051816,NHP highest
SRRM4,9.499346,0.008655,8.534664,6.7818,7.203527,0.051816,Human highest
SRRD,9.091503,0.010612,2.755397,4.072376,4.568745,0.051816,Mouse highest
SRR,8.938562,0.011456,3.057096,6.541058,6.310475,0.051816,NHP highest
SRP68,10.722876,0.004694,4.21707,5.474939,5.092451,0.051816,NHP highest
SRP19,10.366013,0.005611,5.48028,6.900486,6.674441,0.051816,NHP highest
SRFBP1,11.872549,0.002642,5.040844,4.433671,3.965412,0.051816,Human highest
SREBF2,9.791503,0.007478,7.10429,6.389757,6.604016,0.051816,Human highest
SREBF1,8.666667,0.013124,4.300734,1.752108,2.123951,0.051816,Human highest
SPX,10.043137,0.006594,0.203314,1.688261,1.103187,0.051816,NHP highest
SPTLC1,8.666667,0.013124,5.75837,5.040455,5.078993,0.051816,Human highest
SPATS2,8.68366,0.013013,7.713602,5.806452,6.137979,0.051816,Human highest
SPATS1,10.366013,0.005611,1.687866,3.389013,3.706444,0.051816,Mouse highest
SPATA6,9.499346,0.008655,5.72648,1.685651,2.750585,0.051816,Human highest
SOSTDC1,9.875269,0.007172,0.0,1.255381,1.75948,0.051816,Mouse highest
SORT1,10.722876,0.004694,6.987347,8.460024,8.097611,0.051816,NHP highest
SOHLH1,11.294624,0.003527,4.072241,0.0,0.410416,0.051816,Human highest
SOCS7,9.091503,0.010612,6.173878,7.126367,6.945748,0.051816,NHP highest
SNX29,8.982594,0.011206,6.846395,5.533757,3.876087,0.051816,Human highest
SNX27,8.666667,0.013124,6.315621,6.807005,6.748718,0.051816,NHP highest
SNX18,8.819608,0.012158,3.529347,3.98443,4.65143,0.051816,Mouse highest
SNX15,9.049462,0.010838,0.0,5.048753,4.763107,0.051816,NHP highest
SNX11,8.666667,0.013124,2.997554,4.37053,4.366655,0.051816,NHP highest
SNX1,8.938562,0.011456,6.427749,5.508451,5.36747,0.051816,Human highest
SNW1,8.938562,0.011456,4.832428,6.115694,6.246795,0.051816,Mouse highest
SNTG1,9.499346,0.008655,10.727858,9.709217,9.402062,0.051816,Human highest
SNTB2,8.982594,0.011206,8.347546,6.674375,4.513037,0.051816,Human highest
SNRPN,11.68172,0.002906,0.0,8.289876,9.216048,0.051816,Mouse highest
SNRPF,8.734641,0.012685,3.333947,6.571618,5.877427,0.051816,NHP highest
SNRNP35,9.499346,0.008655,4.145118,2.694507,2.926113,0.051816,Human highest
SNRK,10.987582,0.004112,4.77528,6.519563,5.897823,0.051816,NHP highest
SNED1,8.666667,0.013124,7.598818,1.700953,2.951153,0.051816,Human highest
SNAP47,10.366013,0.005611,4.677645,7.439788,6.839201,0.051816,NHP highest
SOWAHB,10.366013,0.005611,0.53452,3.316847,2.729236,0.051816,NHP highest
SOWAHC,9.754248,0.007619,0.107835,2.440164,1.770977,0.051816,NHP highest
SOX1,10.855914,0.004392,0.0,0.942548,0.541432,0.051816,NHP highest
SOX15,10.043137,0.006594,3.421145,0.189028,0.681858,0.051816,Human highest
SPATA4,9.278431,0.009665,2.01977,0.506354,0.40334,0.051816,Human highest
SPATA3,8.78364,0.012378,0.931044,0.167043,0.207662,0.051816,Human highest
SPATA25,8.901843,0.011668,1.393368,0.068677,0.072093,0.051816,Human highest
SPATA24,8.819608,0.012158,2.012297,3.059273,3.286889,0.051816,Mouse highest
SPATA20,11.294624,0.003527,3.554722,0.0,0.495721,0.051816,Human highest
SPATA2,9.989542,0.006773,3.459345,6.149776,5.159685,0.051816,NHP highest
SPATA16,9.091503,0.010612,1.12051,1.818869,2.230434,0.051816,Mouse highest
SPARCL1,9.111111,0.010509,8.268503,7.765155,7.4443,0.051816,Human highest
SPAG9,11.113725,0.003861,7.210231,8.429451,8.19141,0.051816,NHP highest
ST3GAL1,9.690196,0.007867,5.883442,4.021216,5.185527,0.051816,Human highest
SPAG8,9.105229,0.01054,2.9661,0.727907,1.450837,0.051816,Human highest
SPAG4,8.905882,0.011644,1.525737,0.717971,0.994244,0.051816,Human highest
SP3,9.499346,0.008655,6.134948,5.735555,5.493208,0.051816,Human highest
SP2,8.734641,0.012685,3.488962,4.302935,4.416502,0.051816,Mouse highest
SP140,9.754248,0.007619,3.203379,0.145664,0.697896,0.051816,Human highest
SOX7,8.884422,0.01177,2.709392,0.106998,0.234681,0.051816,Human highest
SOX30,8.819608,0.012158,1.80765,0.434338,0.557856,0.051816,Human highest
SOX2,11.251613,0.003604,0.0,0.721648,1.838258,0.051816,Mouse highest
SOX18,8.68366,0.013013,0.058855,0.685566,0.651297,0.051816,NHP highest
SOX17,8.694407,0.012943,0.002297,0.216338,0.006305,0.051816,NHP highest
SPAG5,12.490196,0.00194,3.089187,3.701755,4.227105,0.051816,Mouse highest
TRAF6,10.366013,0.005611,5.360468,4.291108,4.469877,0.051816,Human highest
ST3GAL4,10.464052,0.005343,6.12719,3.571417,4.35882,0.051816,Human highest
ST6GAL2,10.366013,0.005611,7.04462,6.335862,5.993219,0.051816,Human highest
TAF12,11.113725,0.003861,4.307259,4.720869,5.004778,0.051816,Mouse highest
TADA1,8.734641,0.012685,4.151445,4.881393,4.795493,0.051816,NHP highest
TAC4,9.597193,0.008241,2.9567,0.049958,0.058464,0.051816,Human highest
TAC3,8.964052,0.01131,0.551098,0.379697,1.206544,0.051816,Mouse highest
SZRD1,9.271895,0.009697,4.00089,4.252604,4.529236,0.051816,Mouse highest
SYTL1,10.371895,0.005595,0.874166,0.887624,1.93088,0.051816,Mouse highest
SYT8,12.415094,0.002014,0.053616,0.0,0.001234,0.051816,Human highest
SYT5,9.278431,0.009665,5.672368,6.441034,6.740263,0.051816,Mouse highest
SYT16,8.938562,0.011456,8.782924,8.421062,8.230842,0.051816,Human highest
SYS1,8.938562,0.011456,0.007765,6.397349,5.895755,0.051816,NHP highest
SYPL2,9.754248,0.007619,0.130236,1.017752,1.793045,0.051816,Mouse highest
SYNRG,10.366013,0.005611,5.697633,6.68036,6.404624,0.051816,NHP highest
SYNPO2,8.734641,0.012685,7.219385,0.51682,1.41898,0.051816,Human highest
SYNJ2BP,8.791398,0.01233,0.0,6.865842,6.759803,0.051816,NHP highest
SYNC,9.043137,0.010872,4.801688,0.910658,2.183276,0.051816,Human highest
SYN1,8.666667,0.013124,5.978319,8.668529,8.194546,0.051816,NHP highest
SYCP2L,10.417077,0.00547,5.499387,0.065044,1.204839,0.051816,Human highest
SYCN,11.019391,0.004047,0.032794,0.0,0.0,0.051816,Human highest
SYCE3,9.764052,0.007582,0.280477,0.238012,0.847026,0.051816,Mouse highest
TAF13,9.091503,0.010612,3.07934,4.738755,5.231342,0.051816,Mouse highest
SYCE1L,9.136289,0.010377,3.207074,0.433749,0.293742,0.051816,Human highest
TAF1A,10.366013,0.005611,2.970406,3.561666,3.926081,0.051816,Mouse highest
TAF7,10.494624,0.005262,0.0,2.970537,3.250657,0.051816,Mouse highest
TBC1D32,8.819608,0.012158,7.576806,5.622097,5.80725,0.051816,Human highest
TBC1D19,9.091503,0.010612,7.676561,5.638443,6.001369,0.051816,Human highest
TBC1D14,11.997386,0.002482,5.66792,6.478055,6.246904,0.051816,NHP highest
TBATA,9.049462,0.010838,0.0,0.687222,0.828243,0.051816,Mouse highest
TAX1BP3,10.167742,0.006196,0.0,2.172192,2.531425,0.051816,Mouse highest
TATDN3,9.091503,0.010612,5.92387,3.629471,3.961858,0.051816,Human highest
TAT,11.8434,0.002681,0.074658,0.112704,0.0,0.051816,NHP highest
TAS2R7,15.646018,0.0004,0.0838,0.0,0.0,0.051816,Human highest
TARDBP,8.68366,0.013013,5.255652,6.389597,6.370944,0.051816,NHP highest
TARBP1,8.819608,0.012158,8.455919,3.878904,4.681998,0.051816,Human highest
TAPBPL,8.938562,0.011456,1.459505,3.243597,3.360889,0.051816,Mouse highest
TAPBP,10.464052,0.005343,5.485634,3.644712,4.223284,0.051816,Human highest
TAP2,11.538562,0.003122,2.772948,0.57343,1.405805,0.051816,Human highest
TANK,9.278431,0.009665,5.835975,5.00869,4.931162,0.051816,Human highest
TANGO6,10.775698,0.004572,6.516533,3.885719,2.59761,0.051816,Human highest
TANC1,9.091503,0.010612,2.108441,3.45936,3.720737,0.051816,Mouse highest
TAMM41,9.499346,0.008655,6.162598,2.869397,3.549115,0.051816,Human highest
TAGLN2,11.538562,0.003122,0.386189,0.886731,1.427209,0.051816,Mouse highest
TAF9B,9.499346,0.008655,2.730793,4.03622,3.736433,0.051816,NHP highest
