human_gene,nhp_gene,syngo_term,mouse_gene
IGSF11,IGSF11,regulation of postsynaptic membrane neurotransmitter receptor levels,Igsf11
EFNB2,EFNB2,regulation of postsynaptic membrane neurotransmitter receptor levels,Efnb2
FRRS1L,FRRS1L,regulation of postsynaptic membrane neurotransmitter receptor levels,Frrs1l
ATG5,ATG5,regulation of postsynaptic membrane neurotransmitter receptor levels,Atg5
TNC,TNC,extracellular matrix of synaptic cleft,Tnc
AGRN,AGRN,extracellular matrix of synaptic cleft,Agrn
MMP9,MMP9,extracellular matrix of synaptic cleft,Mmp9
LAMA5,LAMA5,extracellular matrix of synaptic cleft,Lama5
SPARCL1,SPARCL1,extracellular matrix of synaptic cleft,Sparcl1
PTPRT,PTPRT,regulation of synapse organization,Ptprt
AGRN,AGRN,regulation of synapse organization,Agrn
CDH8,CDH8,regulation of synapse organization,Cdh8
SPARCL1,SPARCL1,regulation of synapse organization,Sparcl1
GPM6A,GPM6A,regulation of synapse organization,Gpm6a
DAG1,DAG1,regulation of synapse organization,Dag1
SLITRK4,SLITRK4,regulation of synapse organization,Slitrk4
RIMS3,RIMS3,regulation of synapse organization,Rims3
VCP,VCP,regulation of synapse organization,Vcp
SLITRK1,SLITRK1,regulation of synapse organization,Slitrk1
PTPRO,PTPRO,regulation of synapse organization,Ptpro
SEMA3A,SEMA3A,regulation of synapse organization,Sema3a
ARF4,ARF4,regulation of synapse organization,Arf4
CAMK1,CAMK1,regulation of synapse organization,Camk1
APOE,APOE,regulation of synapse organization,Apoe
TUBA1A,TUBA1A,regulation of synapse organization,Tuba1a
NCKAP1,NCKAP1,regulation of synapse organization,Nckap1
WNT5A,WNT5A,regulation of synapse organization,Wnt5a
MECP2,MECP2,regulation of synapse organization,Mecp2
SLITRK2,SLITRK2,regulation of synapse organization,Slitrk2
CSNK2B,CSNK2B,regulation of synapse organization,Csnk2b
SPARC,SPARC,regulation of synapse organization,Sparc
RIMS4,RIMS4,regulation of synapse organization,Rims4
WNT3A,WNT3A,regulation of synapse organization,Wnt3a
CTTNBP2,CTTNBP2,regulation of synapse organization,Cttnbp2
CNTNAP4,CNTNAP4,regulation of synapse organization,Cntnap4
ZDHHC5,ZDHHC5,"postsynaptic specialization, intracellular component",Zdhhc5
NOS1,NOS1,"postsynaptic specialization, intracellular component",Nos1
LCK,LCK,"postsynaptic specialization, intracellular component",Lck
SIPA1L3,SIPA1L3,"postsynaptic specialization, intracellular component",Sipa1l3
YES1,YES1,"postsynaptic specialization, intracellular component",Yes1
SRC,SRC,"postsynaptic specialization, intracellular component",Src
GPHN,GPHN,"postsynaptic specialization, intracellular component",Gphn
AKAP1,AKAP1,"postsynaptic specialization, intracellular component",Akap1
LYN,LYN,"postsynaptic specialization, intracellular component",Lyn
NSF,NSF,"postsynaptic specialization, intracellular component",Nsf
GABARAP,GABARAP,"postsynaptic specialization, intracellular component",Gabarap
GSG1L,GSG1L,regulation of postsynaptic neurotransmitter receptor endocytosis,Gsg1l
PICK1,PICK1,regulation of postsynaptic neurotransmitter receptor endocytosis,Pick1
RNF220,RNF220,regulation of postsynaptic neurotransmitter receptor endocytosis,Rnf220
SYNE1,SYNE1,regulation of postsynaptic neurotransmitter receptor endocytosis,Syne1
APEX1,APEX1,regulation of postsynaptic neurotransmitter receptor endocytosis,Apex1
MMAB,MMAB,regulation of postsynaptic neurotransmitter receptor endocytosis,Mmab
NEDD4,NEDD4,regulation of postsynaptic neurotransmitter receptor endocytosis,Nedd4
DRD4,DRD4,regulation of postsynaptic neurotransmitter receptor endocytosis,Drd4
VAC14,VAC14,regulation of postsynaptic neurotransmitter receptor endocytosis,Vac14
USP46,USP46,regulation of postsynaptic neurotransmitter receptor endocytosis,Usp46
ATAD1,ATAD1,regulation of postsynaptic neurotransmitter receptor endocytosis,Atad1
MDM2,MDM2,regulation of postsynaptic neurotransmitter receptor endocytosis,Mdm2
OPHN1,OPHN1,regulation of postsynaptic neurotransmitter receptor endocytosis,Ophn1
IQSEC1,IQSEC1,regulation of postsynaptic neurotransmitter receptor endocytosis,Iqsec1
PACSIN1,PACSIN1,regulation of postsynaptic neurotransmitter receptor endocytosis,Pacsin1
SUSD4,SUSD4,regulation of postsynaptic neurotransmitter receptor endocytosis,Susd4
SYNJ1,SYNJ1,regulation of postsynaptic neurotransmitter receptor endocytosis,Synj1
NRG1,NRG1,regulation of postsynaptic neurotransmitter receptor endocytosis,Nrg1
SIRT2,SIRT2,regulation of postsynaptic neurotransmitter receptor endocytosis,Sirt2
LPAR1,LPAR1,regulation of postsynaptic neurotransmitter receptor endocytosis,Lpar1
AKAP5,AKAP5,regulation of postsynaptic neurotransmitter receptor endocytosis,Akap5
MIB2,MIB2,regulation of postsynaptic neurotransmitter receptor endocytosis,Mib2
NEDD4L,NEDD4L,regulation of postsynaptic neurotransmitter receptor endocytosis,Nedd4l
NOL3,NOL3,regulation of postsynaptic neurotransmitter receptor endocytosis,Nol3
NCDN,NCDN,regulation of postsynaptic neurotransmitter receptor endocytosis,Ncdn
CACNA1A,CACNA1A,regulation of postsynaptic neurotransmitter receptor endocytosis,Cacna1a
NUMB,NUMB,regulation of postsynaptic neurotransmitter receptor endocytosis,Numb
HIP1,HIP1,regulation of postsynaptic neurotransmitter receptor endocytosis,Hip1
EFNB2,EFNB2,regulation of postsynaptic neurotransmitter receptor endocytosis,Efnb2
RABEP1,RABEP1,regulation of postsynaptic neurotransmitter receptor endocytosis,Rabep1
PPP3R1,PPP3R1,regulation of postsynaptic neurotransmitter receptor endocytosis,Ppp3r1
DRD3,DRD3,regulation of postsynaptic neurotransmitter receptor endocytosis,Drd3
SYT17,SYT17,regulation of postsynaptic neurotransmitter receptor endocytosis,Syt17
ITGB3,ITGB3,regulation of postsynaptic neurotransmitter receptor endocytosis,Itgb3
TSPAN7,TSPAN7,regulation of postsynaptic neurotransmitter receptor endocytosis,Tspan7
LRP1,LRP1,regulation of postsynaptic neurotransmitter receptor endocytosis,Lrp1
RALA,RALA,regulation of postsynaptic neurotransmitter receptor endocytosis,Rala
PIP5K1C,PIP5K1C,regulation of postsynaptic neurotransmitter receptor endocytosis,Pip5k1c
RNF34,RNF34,regulation of postsynaptic neurotransmitter receptor endocytosis,Rnf34
TIAM1,TIAM1,extrinsic component of postsynaptic density membrane,Tiam1
AKAP9,AKAP9,extrinsic component of postsynaptic density membrane,Akap9
FGF22,FGF22,extrinsic component of postsynaptic density membrane,Fgf22
DGKI,DGKI,extrinsic component of postsynaptic density membrane,Dgki
PDE10A,PDE10A,extrinsic component of postsynaptic density membrane,Pde10a
CNKSR2,CNKSR2,extrinsic component of postsynaptic density membrane,Cnksr2
DGKB,DGKB,extrinsic component of postsynaptic density membrane,Dgkb
RNF10,RNF10,extrinsic component of postsynaptic density membrane,Rnf10
OLFM2,OLFM2,extrinsic component of postsynaptic density membrane,Olfm2
OLFM1,OLFM1,extrinsic component of postsynaptic density membrane,Olfm1
CNIH4,CNIH4,regulation of postsynaptic neurotransmitter receptor activity,Cnih4
NOTCH1,NOTCH1,regulation of postsynaptic neurotransmitter receptor activity,Notch1
BEGAIN,BEGAIN,regulation of postsynaptic neurotransmitter receptor activity,Begain
HOMER3,HOMER3,regulation of postsynaptic neurotransmitter receptor activity,Homer3
NPTXR,NPTXR,regulation of postsynaptic neurotransmitter receptor activity,Nptxr
LRP8,LRP8,regulation of postsynaptic neurotransmitter receptor activity,Lrp8
NETO1,NETO1,regulation of postsynaptic neurotransmitter receptor activity,Neto1
DLGAP2,DLGAP2,regulation of postsynaptic neurotransmitter receptor activity,Dlgap2
SRC,SRC,regulation of postsynaptic neurotransmitter receptor activity,Src
AKAP9,AKAP9,regulation of postsynaptic neurotransmitter receptor activity,Akap9
SHISA6,SHISA6,regulation of postsynaptic neurotransmitter receptor activity,Shisa6
NETO2,NETO2,regulation of postsynaptic neurotransmitter receptor activity,Neto2
CACNG7,CACNG7,regulation of postsynaptic neurotransmitter receptor activity,Cacng7
NRXN2,NRXN2,regulation of postsynaptic neurotransmitter receptor activity,Nrxn2
NPTX1,NPTX1,regulation of postsynaptic neurotransmitter receptor activity,Nptx1
HOMER1,HOMER1,regulation of postsynaptic neurotransmitter receptor activity,Homer1
CACNG4,CACNG4,regulation of postsynaptic neurotransmitter receptor activity,Cacng4
CHRNA5,CHRNA5,regulation of postsynaptic neurotransmitter receptor activity,Chrna5
CACNG5,CACNG5,regulation of postsynaptic neurotransmitter receptor activity,Cacng5
SHISA7,SHISA7,regulation of postsynaptic neurotransmitter receptor activity,Shisa7
SHISA9,SHISA9,regulation of postsynaptic neurotransmitter receptor activity,Shisa9
NPTX2,NPTX2,regulation of postsynaptic neurotransmitter receptor activity,Nptx2
TNK2,TNK2,postsynaptic cytosol,Tnk2
BAIAP2,BAIAP2,postsynaptic cytosol,Baiap2
PIAS3,PIAS3,postsynaptic cytosol,Pias3
UBE3A,UBE3A,postsynaptic cytosol,Ube3a
HNRNPA2B1,HNRNPA2B1,postsynaptic cytosol,Hnrnpa2b1
ALDOC,ALDOC,postsynaptic cytosol,Aldoc
VAMP2,VAMP2,postsynaptic cytosol,Vamp2
EIF4E,EIF4E,postsynaptic cytosol,Eif4e
FBXO45,FBXO45,postsynaptic cytosol,Fbxo45
SUMO2,SUMO2,postsynaptic cytosol,Sumo2
PLCB3,PLCB3,postsynaptic cytosol,Plcb3
SUMO1,SUMO1,postsynaptic cytosol,Sumo1
FABP5,FABP5,postsynaptic cytosol,Fabp5
HOMER1,HOMER1,postsynaptic cytosol,Homer1
FMR1,FMR1,postsynaptic cytosol,Fmr1
CALB1,CALB1,postsynaptic cytosol,Calb1
NCS1,NCS1,postsynaptic cytosol,Ncs1
FUS,FUS,postsynaptic cytosol,Fus
CALM1,CALM1,postsynaptic cytosol,Calm1
RGS4,RGS4,postsynaptic cytosol,Rgs4
SENP6,SENP6,postsynaptic cytosol,Senp6
SENP7,SENP7,postsynaptic cytosol,Senp7
SUMO3,SUMO3,postsynaptic cytosol,Sumo3
KIF5B,KIF5B,postsynaptic cytosol,Kif5b
KIF5C,KIF5C,postsynaptic cytosol,Kif5c
DBN1,DBN1,postsynaptic cytosol,Dbn1
PRKCG,PRKCG,postsynaptic cytosol,Prkcg
CALM3,CALM3,postsynaptic cytosol,Calm3
SYT1,SYT1,postsynaptic cytosol,Syt1
RIMS3,RIMS3,postsynaptic cytosol,Rims3
NEDD4,NEDD4,postsynaptic cytosol,Nedd4
PRKCD,PRKCD,postsynaptic cytosol,Prkcd
OGT,OGT,postsynaptic cytosol,Ogt
SENP5,SENP5,postsynaptic cytosol,Senp5
CALM2,CALM2,postsynaptic cytosol,Calm2
PIAS1,PIAS1,postsynaptic cytosol,Pias1
CAMK2A,CAMK2A,postsynaptic cytosol,Camk2a
MTOR,MTOR,postsynaptic cytosol,Mtor
APEX1,APEX1,postsynaptic cytosol,Apex1
SLC25A16,SLC25A16,postsynaptic cytosol,Slc25a16
SENP1,SENP1,postsynaptic cytosol,Senp1
CAMK2G,CAMK2G,postsynaptic cytosol,Camk2g
KIF5A,KIF5A,postsynaptic cytosol,Kif5a
DAG1,DAG1,postsynaptic cytosol,Dag1
UBE2I,UBE2I,postsynaptic cytosol,Ube2i
EIF4EBP1,EIF4EBP1,postsynaptic cytosol,Eif4ebp1
HTT,HTT,postsynaptic cytosol,Htt
PLCB1,PLCB1,postsynaptic cytosol,Plcb1
ALK,ALK,trans-synaptic signaling by neuropeptide,Alk
DIP2A,DIP2A,regulation of modification of postsynaptic actin cytoskeleton,Dip2a
MARCKS,MARCKS,regulation of modification of postsynaptic actin cytoskeleton,Marcks
CTTNBP2,CTTNBP2,regulation of modification of postsynaptic actin cytoskeleton,Cttnbp2
MYH10,MYH10,regulation of modification of postsynaptic actin cytoskeleton,Myh10
PTK2,PTK2,regulation of modification of postsynaptic actin cytoskeleton,Ptk2
ITSN1,ITSN1,regulation of modification of postsynaptic actin cytoskeleton,Itsn1
TIAM1,TIAM1,regulation of modification of postsynaptic actin cytoskeleton,Tiam1
BAIAP2,BAIAP2,regulation of modification of postsynaptic actin cytoskeleton,Baiap2
CYFIP1,CYFIP1,regulation of modification of postsynaptic actin cytoskeleton,Cyfip1
AMOT,AMOT,regulation of modification of postsynaptic actin cytoskeleton,Amot
LIMK1,LIMK1,regulation of modification of postsynaptic actin cytoskeleton,Limk1
RHOA,RHOA,regulation of modification of postsynaptic actin cytoskeleton,Rhoa
SERPINB8,SERPINB8,regulation of modification of postsynaptic actin cytoskeleton,Serpinb8
PRMT8,PRMT8,regulation of modification of postsynaptic actin cytoskeleton,Prmt8
KALRN,KALRN,regulation of modification of postsynaptic actin cytoskeleton,Kalrn
SGTA,SGTA,extrinsic component of synaptic vesicle membrane,Sgta
DOC2B,DOC2B,extrinsic component of synaptic vesicle membrane,Doc2b
RPH3A,RPH3A,extrinsic component of synaptic vesicle membrane,Rph3a
ATP6V1H,ATP6V1H,extrinsic component of synaptic vesicle membrane,Atp6v1h
ATP6V1E1,ATP6V1E1,extrinsic component of synaptic vesicle membrane,Atp6v1e1
SNAP29,SNAP29,extrinsic component of synaptic vesicle membrane,Snap29
AMPH,AMPH,extrinsic component of synaptic vesicle membrane,Amph
ATR,ATR,extrinsic component of synaptic vesicle membrane,Atr
SYN1,SYN1,extrinsic component of synaptic vesicle membrane,Syn1
ATP6V1B1,ATP6V1B1,extrinsic component of synaptic vesicle membrane,Atp6v1b1
ATP6V1C1,ATP6V1C1,extrinsic component of synaptic vesicle membrane,Atp6v1c1
ATP6V1G2,ATP6V1G2,extrinsic component of synaptic vesicle membrane,Atp6v1g2
DOC2A,DOC2A,extrinsic component of synaptic vesicle membrane,Doc2a
ATM,ATM,extrinsic component of synaptic vesicle membrane,Atm
ATP6V1B2,ATP6V1B2,extrinsic component of synaptic vesicle membrane,Atp6v1b2
CLTC,CLTC,extrinsic component of synaptic vesicle membrane,Cltc
ATP6V1D,ATP6V1D,extrinsic component of synaptic vesicle membrane,Atp6v1d
BIN1,BIN1,extrinsic component of synaptic vesicle membrane,Bin1
ATP6V1A,ATP6V1A,extrinsic component of synaptic vesicle membrane,Atp6v1a
ATP6V1F,ATP6V1F,extrinsic component of synaptic vesicle membrane,Atp6v1f
SYN2,SYN2,extrinsic component of synaptic vesicle membrane,Syn2
SYN3,SYN3,extrinsic component of synaptic vesicle membrane,Syn3
ATP6V1G1,ATP6V1G1,extrinsic component of synaptic vesicle membrane,Atp6v1g1
ITSN1,ITSN1,postsynaptic endocytic zone,Itsn1
CLTC,CLTC,postsynaptic endocytic zone,Cltc
AP2A1,AP2A1,postsynaptic endocytic zone,Ap2a1
SYNE1,SYNE1,postsynaptic endocytic zone,Syne1
CALY,CALY,postsynaptic endocytic zone,Caly
FCHO1,FCHO1,postsynaptic endocytic zone,Fcho1
PICK1,PICK1,postsynaptic endocytic zone,Pick1
SH3GLB2,SH3GLB2,postsynaptic endocytic zone,Sh3glb2
DNM2,DNM2,postsynaptic endocytic zone,Dnm2
EPN2,EPN2,postsynaptic endocytic zone,Epn2
CLTA,CLTA,postsynaptic endocytic zone,Clta
PICALM,PICALM,postsynaptic endocytic zone,Picalm
AMPH,AMPH,postsynaptic endocytic zone,Amph
AP2B1,AP2B1,postsynaptic endocytic zone,Ap2b1
HIP1R,HIP1R,postsynaptic endocytic zone,Hip1r
NRN1,NRN1,postsynaptic endocytic zone,Nrn1
EPS15,EPS15,postsynaptic endocytic zone,Eps15
AP2A2,AP2A2,synaptic vesicle endocytosis,Ap2a2
AP2S1,AP2S1,synaptic vesicle endocytosis,Ap2s1
RAB27B,RAB27B,synaptic vesicle endocytosis,Rab27b
CTBP1,CTBP1,synaptic vesicle endocytosis,Ctbp1
DNM3,DNM3,synaptic vesicle endocytosis,Dnm3
SNCA,SNCA,synaptic vesicle endocytosis,Snca
SNAP91,SNAP91,synaptic vesicle endocytosis,Snap91
EPS15L1,EPS15L1,synaptic vesicle endocytosis,Eps15l1
SGIP1,SGIP1,synaptic vesicle endocytosis,Sgip1
CLTB,CLTB,synaptic vesicle endocytosis,Cltb
ITSN1,ITSN1,synaptic vesicle endocytosis,Itsn1
EPS15,EPS15,synaptic vesicle endocytosis,Eps15
DNM1,DNM1,synaptic vesicle endocytosis,Dnm1
AP2M1,AP2M1,synaptic vesicle endocytosis,Ap2m1
PICALM,PICALM,synaptic vesicle endocytosis,Picalm
ATP8A1,ATP8A1,synaptic vesicle endocytosis,Atp8a1
AP3B2,AP3B2,synaptic vesicle endocytosis,Ap3b2
CLTA,CLTA,synaptic vesicle endocytosis,Clta
CLTC,CLTC,synaptic vesicle endocytosis,Cltc
CAPN2,CAPN2,synaptic vesicle endocytosis,Capn2
DIAPH1,DIAPH1,synaptic vesicle endocytosis,Diaph1
BIN1,BIN1,synaptic vesicle endocytosis,Bin1
CANX,CANX,synaptic vesicle endocytosis,Canx
SYNJ2,SYNJ2,synaptic vesicle endocytosis,Synj2
AMPH,AMPH,synaptic vesicle endocytosis,Amph
AP3M2,AP3M2,synaptic vesicle endocytosis,Ap3m2
ARF6,ARF6,synaptic vesicle endocytosis,Arf6
SH3GL2,SH3GL2,synaptic vesicle endocytosis,Sh3gl2
EHD1,EHD1,synaptic vesicle endocytosis,Ehd1
DNM1L,DNM1L,synaptic vesicle endocytosis,Dnm1l
DNM2,DNM2,synaptic vesicle endocytosis,Dnm2
PACSIN1,PACSIN1,synaptic vesicle endocytosis,Pacsin1
RAB5A,RAB5A,synaptic vesicle endocytosis,Rab5a
AP2A1,AP2A1,synaptic vesicle endocytosis,Ap2a1
SNCB,SNCB,synaptic vesicle endocytosis,Sncb
EPN1,EPN1,synaptic vesicle endocytosis,Epn1
PIK3C3,PIK3C3,synaptic vesicle endocytosis,Pik3c3
AP1G1,AP1G1,synaptic vesicle endocytosis,Ap1g1
AP2B1,AP2B1,synaptic vesicle endocytosis,Ap2b1
FCHO2,FCHO2,synaptic vesicle endocytosis,Fcho2
STON2,STON2,synaptic vesicle endocytosis,Ston2
ITSN1,ITSN1,presynaptic endocytic zone,Itsn1
VPS35,VPS35,presynaptic endocytic zone,Vps35
MYO6,MYO6,presynaptic endocytic zone,Myo6
AMPH,AMPH,presynaptic endocytic zone,Amph
PACSIN1,PACSIN1,presynaptic endocytic zone,Pacsin1
EPN1,EPN1,extrinsic component of presynaptic endocytic zone membrane,Epn1
AP2S1,AP2S1,extrinsic component of presynaptic endocytic zone membrane,Ap2s1
PICALM,PICALM,extrinsic component of presynaptic endocytic zone membrane,Picalm
EPS15,EPS15,extrinsic component of presynaptic endocytic zone membrane,Eps15
DNAJC6,DNAJC6,extrinsic component of presynaptic endocytic zone membrane,Dnajc6
AP2M1,AP2M1,extrinsic component of presynaptic endocytic zone membrane,Ap2m1
AP2B1,AP2B1,extrinsic component of presynaptic endocytic zone membrane,Ap2b1
CTBP1,CTBP1,extrinsic component of presynaptic endocytic zone membrane,Ctbp1
SNAP91,SNAP91,extrinsic component of presynaptic endocytic zone membrane,Snap91
EPS15L1,EPS15L1,extrinsic component of presynaptic endocytic zone membrane,Eps15l1
AMPH,AMPH,extrinsic component of presynaptic endocytic zone membrane,Amph
MARCKSL1,MARCKSL1,presynaptic cytosol,Marcksl1
PRKCA,PRKCA,presynaptic cytosol,Prkca
ERC1,ERC1,presynaptic cytosol,Erc1
SUMO1,SUMO1,presynaptic cytosol,Sumo1
STXBP5,STXBP5,presynaptic cytosol,Stxbp5
CALM2,CALM2,presynaptic cytosol,Calm2
PRKCG,PRKCG,presynaptic cytosol,Prkcg
FMR1,FMR1,presynaptic cytosol,Fmr1
NCS1,NCS1,presynaptic cytosol,Ncs1
FUS,FUS,presynaptic cytosol,Fus
CALM3,CALM3,presynaptic cytosol,Calm3
SENP5,SENP5,presynaptic cytosol,Senp5
CSNK2B,CSNK2B,presynaptic cytosol,Csnk2b
NSF,NSF,presynaptic cytosol,Nsf
SENP6,SENP6,presynaptic cytosol,Senp6
SLC25A16,SLC25A16,presynaptic cytosol,Slc25a16
SENP7,SENP7,presynaptic cytosol,Senp7
SYT1,SYT1,presynaptic cytosol,Syt1
CALM1,CALM1,presynaptic cytosol,Calm1
USP14,USP14,presynaptic cytosol,Usp14
MARCKS,MARCKS,presynaptic cytosol,Marcks
RAPH1,RAPH1,presynaptic cytosol,Raph1
SUMO3,SUMO3,presynaptic cytosol,Sumo3
CALB1,CALB1,presynaptic cytosol,Calb1
PIAS3,PIAS3,presynaptic cytosol,Pias3
FBXO45,FBXO45,presynaptic cytosol,Fbxo45
SNCB,SNCB,presynaptic cytosol,Sncb
PPFIA2,PPFIA2,presynaptic cytosol,Ppfia2
PRKCB,PRKCB,presynaptic cytosol,Prkcb
STXBP1,STXBP1,presynaptic cytosol,Stxbp1
SH3GL2,SH3GL2,presynaptic cytosol,Sh3gl2
TRIM9,TRIM9,presynaptic cytosol,Trim9
TNK2,TNK2,presynaptic cytosol,Tnk2
OGT,OGT,presynaptic cytosol,Ogt
PRKCE,PRKCE,presynaptic cytosol,Prkce
HTT,HTT,presynaptic cytosol,Htt
PNKD,PNKD,presynaptic cytosol,Pnkd
CTBP2,CTBP2,presynaptic cytosol,Ctbp2
ANKS1B,ANKS1B,presynaptic cytosol,Anks1b
GDI1,GDI1,presynaptic cytosol,Gdi1
SENP1,SENP1,presynaptic cytosol,Senp1
SUMO2,SUMO2,presynaptic cytosol,Sumo2
PIAS1,PIAS1,presynaptic cytosol,Pias1
APEX1,APEX1,presynaptic cytosol,Apex1
PPP3CC,PPP3CC,presynaptic cytosol,Ppp3cc
CAMK2A,CAMK2A,presynaptic cytosol,Camk2a
UBE2I,UBE2I,presynaptic cytosol,Ube2i
BAIAP2,BAIAP2,presynaptic cytosol,Baiap2
ARL6IP5,ARL6IP5,presynaptic cytosol,Arl6ip5
LRRK2,LRRK2,presynaptic cytosol,Lrrk2
RABEP1,RABEP1,presynaptic cytosol,Rabep1
HNRNPAB,HNRNPAB,presynaptic cytosol,Hnrnpab
ANKS1B,ANKS1B,postsynaptic process involved in chemical synaptic transmission,Anks1b
NOTCH1,NOTCH1,postsynaptic process involved in chemical synaptic transmission,Notch1
EEA1,EEA1,postsynaptic process involved in chemical synaptic transmission,Eea1
KCNK2,KCNK2,postsynaptic process involved in chemical synaptic transmission,Kcnk2
HCN1,HCN1,regulation of postsynaptic membrane potential,Hcn1
RGS7,RGS7,regulation of postsynaptic membrane potential,Rgs7
ANO6,ANO6,regulation of postsynaptic membrane potential,Ano6
KCNT1,KCNT1,regulation of postsynaptic membrane potential,Kcnt1
RGS7BP,RGS7BP,regulation of postsynaptic membrane potential,Rgs7bp
NR3C2,NR3C2,regulation of postsynaptic membrane potential,Nr3c2
DPP6,DPP6,regulation of postsynaptic membrane potential,Dpp6
CHRM1,CHRM1,regulation of postsynaptic membrane potential,Chrm1
NOS1,NOS1,regulation of postsynaptic membrane potential,Nos1
GNG7,GNG7,synaptic vesicle membrane,Gng7
ANP32E,ANP32E,synaptic vesicle membrane,Anp32e
CLTA,CLTA,synaptic vesicle membrane,Clta
SLC17A7,SLC17A7,synaptic vesicle membrane,Slc17a7
CLTB,CLTB,synaptic vesicle membrane,Cltb
GNB2,GNB2,synaptic vesicle membrane,Gnb2
DNM1L,DNM1L,synaptic vesicle membrane,Dnm1l
CDK16,CDK16,synaptic vesicle membrane,Cdk16
ANXA5,ANXA5,synaptic vesicle membrane,Anxa5
ARPC2,ARPC2,synaptic vesicle membrane,Arpc2
GNAO1,GNAO1,synaptic vesicle membrane,Gnao1
SNCA,SNCA,synaptic vesicle membrane,Snca
SH3GL2,SH3GL2,synaptic vesicle membrane,Sh3gl2
DTNBP1,DTNBP1,synaptic vesicle membrane,Dtnbp1
ATG9A,ATG9A,synaptic vesicle membrane,Atg9a
MKLN1,MKLN1,postsynaptic endosome membrane,Mkln1
ANP32E,ANP32E,postsynaptic endosome membrane,Anp32e
ANXA1,ANXA1,synaptic membrane,Anxa1
NPTN,NPTN,synaptic membrane,Nptn
CDH8,CDH8,synaptic membrane,Cdh8
RALA,RALA,synaptic membrane,Rala
RAP2A,RAP2A,synaptic membrane,Rap2a
PPFIA2,PPFIA2,synaptic vesicle,Ppfia2
LAMP5,LAMP5,synaptic vesicle,Lamp5
MARCKSL1,MARCKSL1,synaptic vesicle,Marcksl1
DMXL2,DMXL2,synaptic vesicle,Dmxl2
DNMBP,DNMBP,synaptic vesicle,Dnmbp
BCL2L1,BCL2L1,synaptic vesicle,Bcl2l1
SNAP29,SNAP29,synaptic vesicle,Snap29
TRIM9,TRIM9,synaptic vesicle,Trim9
CALCRL,CALCRL,synaptic vesicle,Calcrl
STXBP5,STXBP5,synaptic vesicle,Stxbp5
AP3S2,AP3S2,synaptic vesicle,Ap3s2
SYNGR3,SYNGR3,synaptic vesicle,Syngr3
PARK7,PARK7,synaptic vesicle,Park7
UBE3A,UBE3A,synaptic vesicle,Ube3a
PDYN,PDYN,synaptic vesicle,Pdyn
AP2B1,AP2B1,synaptic vesicle,Ap2b1
WDR7,WDR7,synaptic vesicle,Wdr7
AP2A1,AP2A1,synaptic vesicle,Ap2a1
PICK1,PICK1,synaptic vesicle,Pick1
EXOC4,EXOC4,synaptic vesicle,Exoc4
AP1B1,AP1B1,synaptic vesicle,Ap1b1
AP3M2,AP3M2,synaptic vesicle,Ap3m2
VPS33B,VPS33B,synaptic vesicle,Vps33b
AP2M1,AP2M1,synaptic vesicle,Ap2m1
BRSK1,BRSK1,synaptic vesicle,Brsk1
AP2S1,AP2S1,synaptic vesicle,Ap2s1
AP2A2,AP2A2,synaptic vesicle,Ap2a2
ATG9A,ATG9A,synaptic vesicle,Atg9a
AP3S1,AP3S1,synaptic vesicle,Ap3s1
DGKI,DGKI,synaptic vesicle,Dgki
SEC22B,SEC22B,synaptic vesicle,Sec22b
SNAPIN,SNAPIN,synaptic vesicle,Snapin
VPS45,VPS45,synaptic vesicle,Vps45
VTI1A,VTI1A,synaptic vesicle,Vti1a
AP3D1,AP3D1,synaptic vesicle budding from endosome,Ap3d1
AP1G1,AP1G1,synaptic vesicle budding from endosome,Ap1g1
AP1S2,AP1S2,synaptic vesicle budding from endosome,Ap1s2
RAB5A,RAB5A,postsynaptic neurotransmitter receptor endocytosis,Rab5a
SH3GLB2,SH3GLB2,postsynaptic neurotransmitter receptor endocytosis,Sh3glb2
RAB11FIP5,RAB11FIP5,postsynaptic neurotransmitter receptor endocytosis,Rab11fip5
MYO6,MYO6,postsynaptic neurotransmitter receptor endocytosis,Myo6
TMUB1,TMUB1,postsynaptic neurotransmitter receptor endocytosis,Tmub1
AP2S1,AP2S1,postsynaptic neurotransmitter receptor endocytosis,Ap2s1
CALY,CALY,postsynaptic neurotransmitter receptor endocytosis,Caly
EPS15,EPS15,postsynaptic neurotransmitter receptor endocytosis,Eps15
AP2B1,AP2B1,postsynaptic neurotransmitter receptor endocytosis,Ap2b1
AP3M1,AP3M1,postsynaptic neurotransmitter receptor endocytosis,Ap3m1
AP2M1,AP2M1,postsynaptic neurotransmitter receptor endocytosis,Ap2m1
RAB11A,RAB11A,presynaptic endosome,Rab11a
EEA1,EEA1,presynaptic endosome,Eea1
VAC14,VAC14,presynaptic endosome,Vac14
SNX4,SNX4,presynaptic endosome,Snx4
CTSD,CTSD,presynaptic endosome,Ctsd
AP3D1,AP3D1,presynaptic endosome,Ap3d1
RAB5A,RAB5A,presynaptic endosome,Rab5a
RAB7A,RAB7A,presynaptic endosome,Rab7
SNX16,SNX16,presynaptic endosome,Snx16
PIK3C3,PIK3C3,presynaptic endosome,Pik3c3
RAB7A,RAB7A,"neurotransmitter receptor transport, postsynaptic endosome to lysosome",Rab7
AP3D1,AP3D1,"neurotransmitter receptor transport, postsynaptic endosome to lysosome",Ap3d1
SNX27,SNX27,postsynaptic recycling endosome,Snx27
